date,sector,failures,sector_label,treated,post,did,in_baseline,in_covid,in_sample,idx
2000-12-01,AZ,1343.0,Agriculture,1,0,0,False,False,False,94.53308305959642
2001-01-01,AZ,1353.0,Agriculture,1,0,0,False,False,False,95.23697794462693
2001-02-01,AZ,1362.0,Agriculture,1,0,0,False,False,False,95.87048334115438
2001-03-01,AZ,1335.0,Agriculture,1,0,0,False,False,False,93.96996715157204
2001-04-01,AZ,1337.0,Agriculture,1,0,0,False,False,False,94.11074612857813
2001-05-01,AZ,1342.0,Agriculture,1,0,0,False,False,False,94.46269357109338
2001-06-01,AZ,1349.0,Agriculture,1,0,0,False,False,False,94.95541999061473
2001-07-01,AZ,1364.0,Agriculture,1,0,0,False,False,False,96.01126231816049
2001-08-01,AZ,1358.0,Agriculture,1,0,0,False,False,False,95.58892538714218
2001-09-01,AZ,1365.0,Agriculture,1,0,0,False,False,False,96.08165180666354
2001-10-01,AZ,1393.0,Agriculture,1,0,0,False,False,False,98.05255748474893
2001-11-01,AZ,1373.0,Agriculture,1,0,0,False,False,False,96.64476771468794
2001-12-01,AZ,1396.0,Agriculture,1,0,0,False,False,False,98.26372595025809
2002-01-01,AZ,1397.0,Agriculture,1,0,0,False,False,False,98.33411543876113
2002-02-01,AZ,1363.0,Agriculture,1,0,0,False,False,False,95.94087282965744
2002-03-01,AZ,1369.0,Agriculture,1,0,0,False,False,False,96.36320976067574
2002-04-01,AZ,1372.0,Agriculture,1,0,0,False,False,False,96.57437822618489
2002-05-01,AZ,1358.0,Agriculture,1,0,0,False,False,False,95.58892538714218
2002-06-01,AZ,1364.0,Agriculture,1,0,0,False,False,False,96.01126231816049
2002-07-01,AZ,1356.0,Agriculture,1,0,0,False,False,False,95.44814641013608
2002-08-01,AZ,1355.0,Agriculture,1,0,0,False,False,False,95.37775692163302
2002-09-01,AZ,1377.0,Agriculture,1,0,0,False,False,False,96.92632566870013
2002-10-01,AZ,1350.0,Agriculture,1,0,0,False,False,False,95.02580947911778
2002-11-01,AZ,1368.0,Agriculture,1,0,0,False,False,False,96.29282027217269
2002-12-01,AZ,1326.0,Agriculture,1,0,0,False,False,False,93.33646175504458
2003-01-01,AZ,1338.0,Agriculture,1,0,0,False,False,False,94.18113561708118
2003-02-01,AZ,1395.0,Agriculture,1,0,0,False,False,False,98.19333646175504
2003-03-01,AZ,1402.0,Agriculture,1,0,0,False,False,False,98.6860628812764
2003-04-01,AZ,1413.0,Agriculture,1,0,0,False,False,False,99.46034725480995
2003-05-01,AZ,1426.0,Agriculture,1,0,0,False,False,False,100.3754106053496
2003-06-01,AZ,1418.0,Agriculture,1,0,0,False,False,False,99.8122946973252
2003-07-01,AZ,1437.0,Agriculture,1,0,0,False,False,False,101.14969497888315
2003-08-01,AZ,1439.0,Agriculture,1,0,0,False,False,False,101.29047395588924
2003-09-01,AZ,1440.0,Agriculture,1,0,0,False,False,False,101.36086344439231
2003-10-01,AZ,1463.0,Agriculture,1,0,0,False,False,False,102.97982167996244
2003-11-01,AZ,1466.0,Agriculture,1,0,0,False,False,False,103.1909901454716
2003-12-01,AZ,1523.0,Agriculture,1,0,0,False,False,False,107.20319099014546
2004-01-01,AZ,1538.0,Agriculture,1,0,0,False,False,False,108.25903331769122
2004-02-01,AZ,1499.0,Agriculture,1,0,0,False,False,False,105.51384326607227
2004-03-01,AZ,1510.0,Agriculture,1,0,0,False,False,False,106.28812763960582
2004-04-01,AZ,1510.0,Agriculture,1,0,0,False,False,False,106.28812763960582
2004-05-01,AZ,1488.0,Agriculture,1,0,0,False,False,False,104.7395588925387
2004-06-01,AZ,1484.0,Agriculture,1,0,0,False,False,False,104.45800093852651
2004-07-01,AZ,1503.0,Agriculture,1,0,0,False,False,False,105.79540122008446
2004-08-01,AZ,1504.0,Agriculture,1,0,0,False,False,False,105.8657907085875
2004-09-01,AZ,1525.0,Agriculture,1,0,0,False,False,False,107.34396996715157
2004-10-01,AZ,1522.0,Agriculture,1,0,0,False,False,False,107.13280150164242
2004-11-01,AZ,1576.0,Agriculture,1,0,0,False,False,False,110.93383388080713
2004-12-01,AZ,1543.0,Agriculture,1,0,0,False,False,False,108.61098076020647
2005-01-01,AZ,1551.0,Agriculture,1,0,0,False,False,False,109.17409666823087
2005-02-01,AZ,1564.0,Agriculture,1,0,0,False,False,False,110.08916001877051
2005-03-01,AZ,1572.0,Agriculture,1,0,0,False,False,False,110.65227592679491
2005-04-01,AZ,1583.0,Agriculture,1,0,0,False,False,False,111.42656030032848
2005-05-01,AZ,1599.0,Agriculture,1,0,0,False,False,False,112.55279211637728
2005-06-01,AZ,1619.0,Agriculture,1,0,0,False,False,False,113.96058188643829
2005-07-01,AZ,1576.0,Agriculture,1,0,0,False,False,False,110.93383388080713
2005-08-01,AZ,1563.0,Agriculture,1,0,0,False,False,False,110.01877053026747
2005-09-01,AZ,1544.0,Agriculture,1,0,0,False,False,False,108.68137024870951
2005-10-01,AZ,1517.0,Agriculture,1,0,0,False,False,False,106.78085405912717
2005-11-01,AZ,1453.0,Agriculture,1,0,0,False,False,False,102.27592679493196
2005-12-01,AZ,1478.0,Agriculture,1,0,0,False,False,False,104.03566400750822
2006-01-01,AZ,1455.0,Agriculture,1,0,0,False,False,False,102.41670577193804
