date,sector,failures,sector_label,treated,post,did,in_baseline,in_covid,in_sample,idx,year
2000-12-01,AZ,1343.0,Agriculture,1,0,0,False,False,False,94.53308305959642,2000
2001-12-01,AZ,1396.0,Agriculture,1,0,0,False,False,False,98.26372595025809,2001
2002-12-01,AZ,1326.0,Agriculture,1,0,0,False,False,False,93.33646175504458,2002
2003-12-01,AZ,1523.0,Agriculture,1,0,0,False,False,False,107.20319099014546,2003
2004-12-01,AZ,1543.0,Agriculture,1,0,0,False,False,False,108.61098076020647,2004
2005-12-01,AZ,1478.0,Agriculture,1,0,0,False,False,False,104.03566400750822,2005
2006-12-01,AZ,1353.0,Agriculture,1,0,0,False,False,False,95.23697794462693,2006
2007-12-01,AZ,1297.0,Agriculture,1,0,0,False,False,False,91.29516658845613,2007
2008-12-01,AZ,1253.0,Agriculture,1,0,0,False,False,False,88.19802909432191,2008
2009-12-01,AZ,1345.0,Agriculture,1,0,0,False,False,False,94.67386203660253,2009
2010-12-01,AZ,1282.0,Agriculture,1,0,0,False,False,False,90.23932426091037,2010
2011-12-01,AZ,1231.0,Agriculture,1,0,0,False,False,False,86.6494603472548,2011
2012-12-01,AZ,1222.0,Agriculture,1,0,0,False,False,False,86.01595495072736,2012
2013-12-01,AZ,1318.0,Agriculture,1,0,0,False,False,False,92.77334584702017,2013
2014-12-01,AZ,1405.0,Agriculture,1,0,0,False,False,False,98.89723134678555,2014
2015-12-01,AZ,1360.0,Agriculture,1,0,0,True,False,True,95.72970436414828,2015
2016-12-01,AZ,1444.0,Agriculture,1,0,0,True,False,True,101.6424213984045,2016
2017-12-01,AZ,1528.0,Agriculture,1,0,0,True,False,True,107.55513843266071,2017
2018-12-01,AZ,1419.0,Agriculture,1,0,0,True,False,True,99.88268418582824,2018
2019-12-01,AZ,1414.0,Agriculture,1,0,0,True,False,True,99.530736743313,2019
2020-12-01,AZ,940.0,Agriculture,1,0,0,False,True,False,66.16611919286719,2020
2021-12-01,AZ,1063.0,Agriculture,1,0,0,False,True,False,74.82402627874237,2021
2022-12-01,AZ,1192.0,Agriculture,1,0,0,False,False,False,83.90427029563585,2022
2023-12-01,AZ,1307.0,Agriculture,1,1,1,False,False,True,91.99906147348662,2023
2024-12-01,AZ,1444.0,Agriculture,1,1,1,False,False,True,101.6424213984045,2024
2025-12-01,AZ,1670.0,Agriculture,1,1,1,False,False,True,117.55044580009384,2025
2000-12-01,BE,5062.0,Industry,0,0,0,False,False,False,135.5620522662858,2000
2001-12-01,BE,4813.0,Industry,0,0,0,False,False,False,128.89374902363363,2001
2002-12-01,BE,5350.0,Industry,0,0,0,False,False,False,143.27478854694368,2002
2003-12-01,BE,5624.0,Industry,0,0,0,False,False,False,150.61260014729183,2003
2004-12-01,BE,5368.0,Industry,0,0,0,False,False,False,143.7568345644848,2004
2005-12-01,BE,5098.0,Industry,0,0,0,False,False,False,136.52614430136802,2005
2006-12-01,BE,4784.0,Industry,0,0,0,False,False,False,128.11711932870628,2006
2007-12-01,BE,4444.0,Industry,0,0,0,False,False,False,119.01180566404071,2007
2008-12-01,BE,4564.0,Industry,0,0,0,False,False,False,122.22544578098149,2008
2009-12-01,BE,5445.0,Industry,0,0,0,False,False,False,145.8189203061885,2009
2010-12-01,BE,4837.0,Industry,0,0,0,False,False,False,129.5364770470218,2010
2011-12-01,BE,4614.0,Industry,0,0,0,False,False,False,123.5644624963735,2011
2012-12-01,BE,4673.0,Industry,0,0,0,False,False,False,125.14450222053605,2012
2013-12-01,BE,4747.0,Industry,0,0,0,False,False,False,127.1262469593162,2013
2014-12-01,BE,4632.0,Industry,0,0,0,False,False,False,124.04650851391462,2014
2015-12-01,BE,4557.0,Industry,0,0,0,True,False,True,122.03798344082661,2015
2016-12-01,BE,4121.0,Industry,0,0,0,True,False,True,110.36175768260841,2016
2017-12-01,BE,3871.0,Industry,0,0,0,True,False,True,103.66667410564841,2017
2018-12-01,BE,3912.0,Industry,0,0,0,True,False,True,104.76466781226985,2018
2019-12-01,BE,3426.0,Industry,0,0,0,True,False,True,91.74942533865963,2019
2020-12-01,BE,2096.0,Industry,0,0,0,False,True,False,56.13158070923252,2020
2021-12-01,BE,1810.0,Industry,0,0,0,False,True,False,48.4724050971903,2021
2022-12-01,BE,2987.0,Industry,0,0,0,False,False,False,79.99285857751791,2022
2023-12-01,BE,3924.0,Industry,0,1,0,False,False,True,105.08603182396392,2023
2024-12-01,BE,4234.0,Industry,0,1,0,False,False,True,113.38793545939431,2024
2025-12-01,BE,4396.0,Industry,0,1,0,False,False,True,117.72634961726438,2025
2000-12-01,FZ,8647.0,Construction,0,0,0,False,False,False,74.70786864708805,2000
2001-12-01,FZ,9142.0,Construction,0,0,0,False,False,False,78.9845420575551,2001
2002-12-01,FZ,10147.0,Construction,0,0,0,False,False,False,87.66748504244275,2002
2003-12-01,FZ,10239.0,Construction,0,0,0,False,False,False,88.46234151469116,2003
2004-12-01,FZ,10691.0,Construction,0,0,0,False,False,False,92.36750592182472,2004
2005-12-01,FZ,11250.0,Construction,0,0,0,False,False,False,97.19712296516023,2005
2006-12-01,FZ,10995.0,Construction,0,0,0,False,False,False,94.99398817794994,2006
2007-12-01,FZ,12886.0,Construction,0,0,0,False,False,False,111.33174458036044,2007
