series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;REF_AREA;ADJUSTMENT;DIREN_OBJET;DIREN_THECO;DIREN_MESURE;DIREN_NATURE;DIREN_SECTACT;DIREN_TAILLENT;UNIT;DECIMALS;UNIT_MULT;COLLECTION;TIME_FORMAT;SOURCE_AGENCY;OBS_CONF;OBS_STATUS
DIREN.A.FR.BI.LME.AE.05.N.AZ.TT;2024;2024-01-01;2024-12-31;4,5;2025-12-08T11:01:03+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Agriculture, sylviculture et pêche, Toutes tailles,  Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Agriculture, sylviculture et pêche, Toutes tailles,  Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;AZ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.DE.TT;2024;2024-01-01;2024-12-31;1,6;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Industries extractives, énergie, eau, déchets, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Industries extractives, énergie, eau, déchets, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;DE;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.FZ.TT;2024;2024-01-01;2024-12-31;4,3;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Construction, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Construction, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;FZ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.G.TT;2024;2024-01-01;2024-12-31;2,3;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Commerce et réparation automobile, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Commerce et réparation automobile, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;G;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.PQ.TT;2024;2024-01-01;2024-12-31;2,2;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, France, Enseignement, santé humaine et action sociale, Toutes tailles,  Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Enseignement, santé humaine et action sociale, Toutes tailles,  Critères de la loi de modernisation de l'économie, Ratio moyen, Brut.;A;FR;N;AE;BI;05;LME;PQ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.ZZ.EI;2024;2024-01-01;2024-12-31;2,2;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Entreprises de taille Intermédiaire, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Entreprises de taille Intermédiaire, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;ZZ;EI;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.ZZ.GE;2024;2024-01-01;2024-12-31;1,4;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Grandes entreprises, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Grandes entreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;ZZ;GE;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BE.05.N.FZ.TT;2024;2024-01-01;2024-12-31;58,9;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Construction, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Construction, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BE;BI;05;LME;FZ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BE.05.N.H.TT;2024;2024-01-01;2024-12-31;34,6;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Transports et entreposage, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Transports et entreposage, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BE;BI;05;LME;H;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BE.05.N.I.TT;2024;2024-01-01;2024-12-31;72,3;2025-12-08T11:01:04+00:00;DIREN;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Hébergement et restauration, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Hébergement et restauration, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BE;BI;05;LME;I;TT;PC;1;0;E;P1Y;FR2;F;A
